"","CorV","minInvoiceDate","Orders","COGS","minInvioceDate"
"50","E",2014-01-01,16,99.0625,2014-01-01
"51","E",2014-01-02,239,114.085774,2014-01-02
"52","E",2014-01-03,301,126.528239,2014-01-03
"53","E",2014-01-04,37,77.783783,2014-01-04
"54","E",2014-01-05,3,91.666666,2014-01-05
"55","E",2014-01-06,278,126.388489,2014-01-06
"56","E",2014-01-07,260,127.126923,2014-01-07
"57","E",2014-01-08,334,115.172155,2014-01-08
"58","E",2014-01-09,352,118.15909,2014-01-09
"59","E",2014-01-10,494,128.368421,2014-01-10
"60","E",2014-01-11,93,98.301075,2014-01-11
"61","E",2014-01-12,9,123.333333,2014-01-12
"62","E",2014-01-13,531,122.000941,2014-01-13
"63","E",2014-01-14,508,113.874015,2014-01-14
"64","E",2014-01-15,462,119.172077,2014-01-15
"65","E",2014-01-16,494,117.521255,2014-01-16
"66","E",2014-01-17,500,122.96272,2014-01-17
"67","E",2014-01-18,70,93.442857,2014-01-18
"68","E",2014-01-19,5,99.8,2014-01-19
"69","E",2014-01-20,465,120.938709,2014-01-20
"70","E",2014-01-21,275,118.107272,2014-01-21
"71","E",2014-01-22,360,121.390277,2014-01-22
"72","E",2014-01-23,432,124.035879,2014-01-23
"73","E",2014-01-24,507,120.287968,2014-01-24
"74","E",2014-01-25,66,98.10606,2014-01-25
"75","E",2014-01-26,11,95.90909,2014-01-26
"76","E",2014-01-27,724,123.383287,2014-01-27
"77","E",2014-01-28,658,116.566869,2014-01-28
"78","E",2014-01-29,435,111.181609,2014-01-29
"79","E",2014-01-30,303,116.768976,2014-01-30
"80","E",2014-01-31,331,117.880664,2014-01-31
"81","E",2014-02-01,54,101.907407,2014-02-01
"82","E",2014-02-02,7,87.571428,2014-02-02
"83","E",2014-02-03,389,128.431876,2014-02-03
"84","E",2014-02-04,370,115.078378,2014-02-04
"85","E",2014-02-05,278,116.129496,2014-02-05
"86","E",2014-02-06,312,124.955128,2014-02-06
"87","E",2014-02-07,339,120.222713,2014-02-07
"88","E",2014-02-08,53,97.037735,2014-02-08
"89","E",2014-02-09,6,55.833333,2014-02-09
"90","E",2014-02-10,384,117.153645,2014-02-10
"91","E",2014-02-11,408,113.318627,2014-02-11
"92","E",2014-02-12,353,108.507082,2014-02-12
"93","E",2014-02-13,357,112.696078,2014-02-13
"94","E",2014-02-14,388,120.828608,2014-02-14
"95","E",2014-02-15,51,115.990196,2014-02-15
"96","E",2014-02-16,5,108,2014-02-16
"97","E",2014-02-17,464,111.72306,2014-02-17
"98","E",2014-02-18,233,131.909871,2014-02-18
"99","E",2014-02-19,294,120.319727,2014-02-19
"100","E",2014-02-20,369,114.771002,2014-02-20
"101","E",2014-02-21,315,120.044444,2014-02-21
"102","E",2014-02-22,141,107.659574,2014-02-22
"103","E",2014-02-23,6,144.166666,2014-02-23
"104","E",2014-02-24,532,118.743421,2014-02-24
"105","E",2014-02-25,644,114.516304,2014-02-25
"106","E",2014-02-26,417,103.434052,2014-02-26
"107","E",2014-02-27,298,113.525167,2014-02-27
"108","E",2014-02-28,364,114.811813,2014-02-28
"109","E",2014-03-01,69,87.956521,2014-03-01
"110","E",2014-03-02,5,73.8,2014-03-02
"111","E",2014-03-03,356,123.23455,2014-03-03
"112","E",2014-03-04,272,119.560661,2014-03-04
"113","E",2014-03-05,302,112.155629,2014-03-05
"114","E",2014-03-06,286,118.940559,2014-03-06
"115","E",2014-03-07,287,122.015679,2014-03-07
"116","E",2014-03-08,22,88.545454,2014-03-08
"117","E",2014-03-09,9,90,2014-03-09
"118","E",2014-03-10,366,110.997267,2014-03-10
"119","E",2014-03-11,430,116.806976,2014-03-11
"120","E",2014-03-12,265,118.418867,2014-03-12
"121","E",2014-03-13,335,112.656716,2014-03-13
"122","E",2014-03-14,410,117.612195,2014-03-14
"123","E",2014-03-15,37,78.621621,2014-03-15
"124","E",2014-03-16,9,114.444444,2014-03-16
"125","E",2014-03-17,482,115.742738,2014-03-17
"126","E",2014-03-18,298,102.790268,2014-03-18
"127","E",2014-03-19,391,105.806905,2014-03-19
"128","E",2014-03-20,304,124.606907,2014-03-20
"129","E",2014-03-21,433,112.937644,2014-03-21
"130","E",2014-03-22,41,80,2014-03-22
"131","E",2014-03-23,13,104.230769,2014-03-23
"132","E",2014-03-24,458,114.431222,2014-03-24
"133","E",2014-03-25,434,119.397465,2014-03-25
"134","E",2014-03-26,591,108.467851,2014-03-26
"135","E",2014-03-27,519,109.984585,2014-03-27
"136","E",2014-03-28,275,114.52,2014-03-28
"137","E",2014-03-29,26,81.384615,2014-03-29
"138","E",2014-03-30,8,86.875,2014-03-30
"139","E",2014-03-31,390,119.341025,2014-03-31
"140","E",2014-04-01,322,105.114906,2014-04-01
"141","E",2014-04-02,240,109.904166,2014-04-02
"142","E",2014-04-03,262,101.192748,2014-04-03
"143","E",2014-04-04,306,107.529411,2014-04-04
"144","E",2014-04-05,26,79.346153,2014-04-05
"145","E",2014-04-06,4,101.5,2014-04-06
"146","E",2014-04-07,374,96.934491,2014-04-07
"147","E",2014-04-08,324,100.58179,2014-04-08
"148","E",2014-04-09,296,99.447635,2014-04-09
"149","E",2014-04-10,284,94.191901,2014-04-10
"150","E",2014-04-11,380,103.814473,2014-04-11
"151","E",2014-04-12,46,59.217391,2014-04-12
"152","E",2014-04-13,6,65.666666,2014-04-13
"153","E",2014-04-14,468,92.51282,2014-04-14
"154","E",2014-04-15,24,74.083333,2014-04-15
"155","V",2014-01-01,14,101.428571,2014-01-01
"156","V",2014-01-02,103,89.903009,2014-01-02
"157","V",2014-01-03,139,93.453453,2014-01-03
"158","V",2014-01-04,24,89.583333,2014-01-04
"159","V",2014-01-05,3,65,2014-01-05
"160","V",2014-01-06,187,88.989358,2014-01-06
"161","V",2014-01-07,148,94.615067,2014-01-07
"162","V",2014-01-08,183,87.617595,2014-01-08
"163","V",2014-01-09,205,91.263658,2014-01-09
"164","V",2014-01-10,224,85.652008,2014-01-10
"165","V",2014-01-11,56,82.321428,2014-01-11
"166","V",2014-01-12,14,75,2014-01-12
"167","V",2014-01-13,296,84.050777,2014-01-13
"168","V",2014-01-14,224,90.192142,2014-01-14
"169","V",2014-01-15,276,96.242826,2014-01-15
"170","V",2014-01-16,242,89.56409,2014-01-16
"171","V",2014-01-17,296,87.829493,2014-01-17
"172","V",2014-01-18,63,78.079365,2014-01-18
"173","V",2014-01-19,11,69.545454,2014-01-19
"174","V",2014-01-20,292,89.393972,2014-01-20
"175","V",2014-01-21,194,85.252886,2014-01-21
"176","V",2014-01-22,227,90.396696,2014-01-22
"177","V",2014-01-23,272,95.783198,2014-01-23
"178","V",2014-01-24,282,91.333546,2014-01-24
"179","V",2014-01-25,77,85.350649,2014-01-25
"180","V",2014-01-26,14,72.285714,2014-01-26
"181","V",2014-01-27,422,93.577109,2014-01-27
"182","V",2014-01-28,376,94.114441,2014-01-28
"183","V",2014-01-29,208,94.562644,2014-01-29
"184","V",2014-01-30,170,93.000058,2014-01-30
"185","V",2014-01-31,172,90.604883,2014-01-31
"186","V",2014-02-01,29,82.034827,2014-02-01
"187","V",2014-02-02,8,73.125,2014-02-02
"188","V",2014-02-03,201,99.666815,2014-02-03
"189","V",2014-02-04,142,92.169014,2014-02-04
"190","V",2014-02-05,175,88.211714,2014-02-05
"191","V",2014-02-06,161,94.701987,2014-02-06
"192","V",2014-02-07,168,92.000238,2014-02-07
"193","V",2014-02-08,33,88.636363,2014-02-08
"194","V",2014-02-09,5,89.4,2014-02-09
"195","V",2014-02-10,239,86.18,2014-02-10
"196","V",2014-02-11,181,103.29558,2014-02-11
"197","V",2014-02-12,171,92.15807,2014-02-12
"198","V",2014-02-13,207,99.009758,2014-02-13
"199","V",2014-02-14,177,89.38435,2014-02-14
"200","V",2014-02-15,47,80.170212,2014-02-15
"201","V",2014-02-16,13,70.76923,2014-02-16
"202","V",2014-02-17,233,95.055879,2014-02-17
"203","V",2014-02-18,160,94.197,2014-02-18
"204","V",2014-02-19,174,87.310632,2014-02-19
"205","V",2014-02-20,197,103.918832,2014-02-20
"206","V",2014-02-21,235,93.255446,2014-02-21
"207","V",2014-02-22,90,81.711111,2014-02-22
"208","V",2014-02-23,19,78.105263,2014-02-23
"209","V",2014-02-24,420,90.532309,2014-02-24
"210","V",2014-02-25,316,97.10155,2014-02-25
"211","V",2014-02-26,165,87.800121,2014-02-26
"212","V",2014-02-27,121,92.702644,2014-02-27
"213","V",2014-02-28,175,89.063257,2014-02-28
"214","V",2014-03-01,31,89.774193,2014-03-01
"215","V",2014-03-02,6,86.666666,2014-03-02
"216","V",2014-03-03,188,92.920425,2014-03-03
"217","V",2014-03-04,159,92.578805,2014-03-04
"218","V",2014-03-05,145,86.214,2014-03-05
"219","V",2014-03-06,139,92.928561,2014-03-06
"220","V",2014-03-07,175,94.485828,2014-03-07
"221","V",2014-03-08,47,79.957446,2014-03-08
"222","V",2014-03-09,10,56.202,2014-03-09
"223","V",2014-03-10,239,87.03774,2014-03-10
"224","V",2014-03-11,187,92.48155,2014-03-11
"225","V",2014-03-12,168,90.39619,2014-03-12
"226","V",2014-03-13,187,87.620748,2014-03-13
"227","V",2014-03-14,209,93.677081,2014-03-14
"228","V",2014-03-15,45,87.977777,2014-03-15
"229","V",2014-03-16,11,93.90909,2014-03-16
"230","V",2014-03-17,260,96.965461,2014-03-17
"231","V",2014-03-18,191,100.42157,2014-03-18
"232","V",2014-03-19,198,93.42702,2014-03-19
"233","V",2014-03-20,203,91.512364,2014-03-20
"234","V",2014-03-21,237,88.569873,2014-03-21
"235","V",2014-03-22,70,86.071428,2014-03-22
"236","V",2014-03-23,8,77.5,2014-03-23
"237","V",2014-03-24,257,93.877587,2014-03-24
"238","V",2014-03-25,249,98.229156,2014-03-25
"239","V",2014-03-26,311,95.530771,2014-03-26
"240","V",2014-03-27,294,103.330136,2014-03-27
"241","V",2014-03-28,161,102.717515,2014-03-28
"242","V",2014-03-29,26,96.615384,2014-03-29
"243","V",2014-03-30,3,78,2014-03-30
"244","V",2014-03-31,137,99.781167,2014-03-31
"245","V",2014-04-01,120,90.38775,2014-04-01
"246","V",2014-04-02,103,93.019805,2014-04-02
"247","V",2014-04-03,105,89.695428,2014-04-03
"248","V",2014-04-04,117,86.615641,2014-04-04
"249","V",2014-04-05,25,81.24,2014-04-05
"250","V",2014-04-06,10,73.2,2014-04-06
"251","V",2014-04-07,187,93.55909,2014-04-07
"252","V",2014-04-08,105,96.419047,2014-04-08
"253","V",2014-04-09,145,93.289724,2014-04-09
"254","V",2014-04-10,145,88.300344,2014-04-10
"255","V",2014-04-11,144,95.281597,2014-04-11
"256","V",2014-04-12,30,86.033333,2014-04-12
"257","V",2014-04-13,9,72,2014-04-13
